Data;Atsak_;IP adresas;Ar pritariate, kad  dr. J. Basanavi_iaus paminklas b_t_ pastatytas aikšt_je priešais Filharmonij_?;Ar pritariate, kad  dr. J. Basanavi_iaus paminklas b_t_ pastatytas K. Sirvydo skvere?
05/10/15 08:52;---;192.110.164.130;Nepritariu;Pritariu
05/10/15 08:52;---;213.163.71.174;;
05/10/15 08:51;---;66.90.121.114;Nepritariu;Pritariu
05/10/15 08:28;---;93.174.93.145;Nepritariu;Pritariu
05/10/15 07:15;---;88.119.17.238;Pritariu;Nepritariu
05/10/15 05:18;---;89.117.254.205;Pritariu;Nepritariu
04/10/15 23:42;---;106.186.124.168;Nepritariu;Pritariu
04/10/15 23:29;---;103.15.140.178;Nepritariu;Pritariu
04/10/15 23:27;---;106.240.250.106;Nepritariu;Pritariu
04/10/15 23:20;---;119.92.185.134;Nepritariu;Pritariu
04/10/15 23:09;---;78.56.121.95;Nepritariu;Pritariu
04/10/15 21:55;---;78.57.248.56;Pritariu;Nepritariu
04/10/15 20:41;---;85.17.24.66;Nepritariu;Pritariu
04/10/15 20:38;---;103.4.66.158;Nepritariu;Pritariu
04/10/15 20:36;---;123.59.60.163;Nepritariu;Pritariu
04/10/15 20:04;---;78.60.84.231;Pritariu;Nepritariu
04/10/15 19:36;---;78.60.172.142;Pritariu;Nepritariu
04/10/15 19:24;---;174.118.151.18;Pritariu;Nepritariu
04/10/15 19:03;---;88.223.33.248;Pritariu;Neturiu nuomon_s
04/10/15 18:34;---;113.106.93.42;Nepritariu;Pritariu
04/10/15 18:31;---;50.7.78.234;Nepritariu;Pritariu
04/10/15 18:31;---;122.89.134.132;Nepritariu;Pritariu
04/10/15 18:26;---;123.57.23.114;Nepritariu;Pritariu
04/10/15 18:23;---;122.226.133.115;Nepritariu;Pritariu
04/10/15 17:41;---;1.165.233.56;Nepritariu;Pritariu
04/10/15 17:15;---;119.235.102.66;Nepritariu;Pritariu
04/10/15 17:04;---;118.244.239.2;Nepritariu;Pritariu
04/10/15 16:57;---;117.156.15.19;Nepritariu;Pritariu
04/10/15 16:57;---;120.203.158.149;Nepritariu;Pritariu
04/10/15 16:57;---;120.198.236.10;Nepritariu;Pritariu
04/10/15 16:56;---;116.53.74.216;Nepritariu;Pritariu
04/10/15 16:56;---;119.28.1.183;Nepritariu;Pritariu
04/10/15 16:56;---;121.8.149.234;Nepritariu;Pritariu
04/10/15 16:56;---;117.156.15.25;Nepritariu;Pritariu
04/10/15 16:52;---;107.150.96.127;Nepritariu;Pritariu
04/10/15 16:26;---;5.20.153.233;Nepritariu;Pritariu
04/10/15 15:53;---;78.56.184.47;Nepritariu;Pritariu
