"Dėl išorinės reklamos leidimo išdavimo"
"Data";"Atsakė";"IP adresas";"Ar esate kreipęsis į Savivaldybę dėl leidimo įrengti išorinę reklamą išdavimo paslaugos suteikimo?";"Kaip dažnai esate naudojęsis Savivaldybės teikiama leidimų įrengti išorinę reklamą išdavimo paslauga?";"Ar gavote leidimą įrengti išorinę reklamą?";"Ar susidūrėte su kokiomis nors problemomis, kai kreipėtės dėl leidimo įrengti išorinę reklamą?";"Įvardykite problemas, su kuriomis susidūrėte, kai kreipėtės dėl leidimo įrengti išorinę reklamą (galite pažymėti daugiau nei 1 atsakymą):";"Ką darytumėte, jei gautumėte įspėjimą apie nelegaliai (be leidimo) įrengtą išorinę reklamą?";"Jūs esate:";"Kaip manote, ar Vilniaus mieste trūksta naujų (nuomojamų) reklamos plotų (stendų, kolonų)?";"Naujų (nuomojamų) reklamos plotų (stendų, kolonų) trūksta:";"Kiti pastebėjimai, pageidavimai apie išorinę reklamą Vilniaus mieste:"
2016-02-22 22:39;---;212.122.95.205;"Ne (Jeigu atsakėte ne, pereikite į 6 klausimą)";"Kreipiausi tik vieną kartą";"Ne";"Taip";"Sudėtinga leidimų įrengti išorinę reklamą išdavimo tvarka, Sudėtinga suderinti su kalbos tvarkytoju (-a), Tikėjausi didesnės Savivaldybės pagalbos rengiant dokumentus, Supratau, kad laukia dideli metų mokesčiai, ir pamaniau, kad pigiau sumokėti baudą nei visus privalomus mokesčius";"Nedaryčiau nieko";"Kita";"Taip";"Kita";
2016-02-22 10:57;---;85.206.130.239;"Taip";"Kreipiausi tik vieną kartą";"Taip";"Taip";"Sudėtinga leidimų įrengti išorinę reklamą išdavimo tvarka, Sudėtinga surinkti reikiamą skaičių pastato savininkų sutikimų";"Pašalinčiau išorinę reklamą";"Kita";"Taip";"Šalia pagrindinio eismo gatvių";
2016-02-22 09:02;---;81.7.92.18;"Taip";"Daugiau kaip 1 kartą per metus";"Taip";"Taip";"Sudėtinga leidimų įrengti išorinę reklamą išdavimo tvarka Po metų reklama tapo nematoma, o sumokėta 5 metai į priekį, pinigai negražįnami., Sudėtinga suderinti su kalbos tvarkytoju (-a), Tikėjausi didesnės Savivaldybės pagalbos rengiant dokumentus, Sudėtinga surinkti reikiamą skaičių pastato savininkų sutikimų, Suskaičiavęs supratau, kad projekto parengimas brangiai kainuoja, Supratau, kad laukia dideli metų mokesčiai, ir pamaniau, kad pigiau sumokėti baudą nei visus privalomus mokesčius, Kita";"Kreipčiausi į Savivaldybę dėl leidimo įrengti išorinę reklamą išdavimo";"Kita NT vystytojas";"Ne (pereikite į 10 klausimą)";"Kita";"1. Reklamos pakelimas/pasumimas bent 30 cm reikalauja naujo projekto, derinimo, ir naujo mokesčio.
2. Praejus terminui reikia iš naujo derinti projektą."
2016-02-22 08:52;---;213.197.168.226;"Ne (Jeigu atsakėte ne, pereikite į 6 klausimą)";;;;;"Kreipčiausi į Savivaldybę dėl leidimo įrengti išorinę reklamą išdavimo";"Kita";"Ne (pereikite į 10 klausimą)";"Kita";
2016-02-22 08:20;---;88.119.135.20;"Taip";"Iki 1 karto per metus";"Taip";"Taip";"Sudėtinga leidimų įrengti išorinę reklamą išdavimo tvarka, Sudėtinga suderinti su kalbos tvarkytoju (-a), Tikėjausi didesnės Savivaldybės pagalbos rengiant dokumentus";"Kreipčiausi į Savivaldybę dėl leidimo įrengti išorinę reklamą išdavimo";"Kita įmonė";"Taip";"Šalia pagrindinio eismo gatvių";
2016-02-21 00:16;---;78.56.188.230;"Ne (Jeigu atsakėte ne, pereikite į 6 klausimą)";;;;;"Kreipčiausi į Savivaldybę dėl leidimo įrengti išorinę reklamą išdavimo";"Kita";"Ne (pereikite į 10 klausimą)";"Kita";
2016-02-20 23:21;---;79.132.176.87;"Taip";"Iki 1 karto per metus";"Taip";"Ne (Jeigu atsakėte ne, pereikite į 6 klausimą)";;"Kreipčiausi į Savivaldybę dėl leidimo įrengti išorinę reklamą išdavimo";"Asmuo, dirbantis pagal verslo liudijimą";"Taip";"Šalia pagrindinio eismo gatvių";
2016-02-20 09:38;---;213.164.105.50;"Taip";"Daugiau kaip 1 kartą per metus";"Taip";"Taip";"Sudėtinga leidimų įrengti išorinę reklamą išdavimo tvarka Neisdavimo atveju nepagristi argumentai, kuriu nera istate ar Vilniuje galiojanciose tvarkose. , Tikėjausi didesnės Savivaldybės pagalbos rengiant dokumentus, Supratau, kad laukia dideli metų mokesčiai, ir pamaniau, kad pigiau sumokėti baudą nei visus privalomus mokesčius, Kita";"Kita Priklausomai nuo situacijos, pirmiausia visada bandom suderinti.";"Kita Imone, kuri reklamuojasi";"Ne (pereikite į 10 klausimą)";"Kita";"Aiskus argumentai kodel nesuteikiamas leidimas, kas turi buti pakoreguota. 
Aiskus statybvieciu apipavidalinimas ir mokamu plotu isskyrimas, nes tvarkingos statybvietes yra visuomenes informavimo,  kartu uztikrina tvarka ir estetika mieste. Jeigu tai laikoma reklama statybvieciu savininkai nenori moketimilzinisku sumu, plotas didelis, traktupjama kaip reklama, todel palieka tvoras netvarkingas."
2016-02-20 07:35;---;86.38.154.50;"Ne (Jeigu atsakėte ne, pereikite į 6 klausimą)";;;;;"Kreipčiausi į Savivaldybę dėl leidimo įrengti išorinę reklamą išdavimo";"Kita";"Ne (pereikite į 10 klausimą)";"Kita";"Išorinės reklamos stendų ir kolonų Vilniaus mieste yra per daug. Nemanau, kad jie yra efektyvūs. Kai kuriais atvejais, ypač prie sankryžų, trukdo saugiam automobilių eismui, nes atitraukia vairuojančių automobilį asmenų dėmesį."
2016-02-19 21:55;---;78.60.30.209;"Taip";"Iki 1 karto per metus";"Ne";"Taip";"Sudėtinga leidimų įrengti išorinę reklamą išdavimo tvarka";"Pašalinčiau išorinę reklamą";"Asmuo, dirbantis pagal verslo liudijimą";"Taip";"Šalia pagrindinio eismo gatvių";
2016-02-19 20:45;---;78.60.70.115;"Taip";"Iki 1 karto per metus";"Taip";"Ne (Jeigu atsakėte ne, pereikite į 6 klausimą)";;"Kreipčiausi į Savivaldybę dėl leidimo įrengti išorinę reklamą išdavimo";"Kita Samdomas darbuotojas";"Ne (pereikite į 10 klausimą)";"Kita";"Pastebėjimų neturiu.
Pasvarstymui: galimybė dokumentus pateikti internetu"
2016-02-19 18:54;---;78.63.214.45;"Taip";"Iki 1 karto per metus";"Taip";"Taip";"Sudėtinga leidimų įrengti išorinę reklamą išdavimo tvarka, Buvo sunku rasti informaciją, kokius dokumentus reikia pateikti, Tikėjausi didesnės Savivaldybės pagalbos rengiant dokumentus";"Kreipčiausi į Savivaldybę dėl leidimo įrengti išorinę reklamą išdavimo";"Išorinės reklamos paslaugų agentūra";"Ne (pereikite į 10 klausimą)";"Šalia pagrindinio eismo gatvių";
