Data,Ar pritariate parengtam Vokiečių gatvės rekonstrukcijos projektui?,"Ar manot, kad tikslinga joje įrengti  Lietuvos garsių meno ir kultūros veikėjų įamžinimo vietą?"
9/29/15 0:21,Taip,Ne
9/29/15 0:07,Ne,Ne
9/28/15 13:14,Taip,Ne
9/28/15 9:41,Taip,Ne
9/28/15 9:05,Ne,Ne
9/27/15 22:34,Ne,Ne
9/27/15 21:17,Taip,Ne
9/27/15 19:37,Taip,Ne
9/27/15 17:56,Ne,Ne
9/27/15 17:05,Taip,"Jei ne, kur siūlytumėte įrengti? Tikslinga, jei tai būtų erdvė/paviljonas, o ne tiesiog paminklas."
9/27/15 16:48,Taip,Ne
9/27/15 16:40,Ne,Ne
9/27/15 16:27,Ne,Ne
